question,option,count,pct_valid_respondents,pct_total_respondents
Booking/location pain points,Không biết sân/địa điểm nào còn trống,86,62.3,54.1
Booking/location pain points,Không rõ chất lượng sân/địa điểm,74,53.6,46.5
Booking/location pain points,Không rõ giá,72,52.2,45.3
Booking/location pain points,Phải gọi/nhắn nhiều nơi,62,44.9,39.0
Booking/location pain points,Dễ bị trùng lịch hoặc hết chỗ,56,40.6,35.2
Booking/location pain points,Không có đánh giá từ người chơi trước,28,20.3,17.6
Booking/location pain points,Khó đổi/hủy lịch,25,18.1,15.7
Booking/location pain points,Không có một nơi tổng hợp nhiều sân/môn thể thao,14,10.1,8.8
Booking/location pain points,Khó chia tiền với người chơi khác,13,9.4,8.2
