question,option,count,pct_valid_respondents,pct_total_respondents
Trust factors for new players,Hồ sơ người chơi rõ ràng,103,69.1,64.8
Trust factors for new players,Có nhóm chat trước buổi chơi,77,51.7,48.4
Trust factors for new players,Có xác minh tài khoản/số điện thoại,66,44.3,41.5
Trust factors for new players,Có đánh giá từ người chơi khác,60,40.3,37.7
Trust factors for new players,Biết trước trình độ chơi,60,40.3,37.7
Trust factors for new players,Có cơ chế báo cáo người chơi không phù hợp,48,32.2,30.2
Trust factors for new players,Biết trước lịch sử tham gia trận/hoạt động,36,24.2,22.6
