question,option,count,pct_valid_respondents,pct_total_respondents
Current booking/location methods,Nhắn Zalo/Facebook cho sân,90,65.2,56.6
Current booking/location methods,Gọi điện trực tiếp cho sân,77,55.8,48.4
Current booking/location methods,Nhờ bạn bè đặt,68,49.3,42.8
Current booking/location methods,Đặt qua app/website,45,32.6,28.3
Current booking/location methods,Đến trực tiếp sân,40,29.0,25.2
Current booking/location methods,Hỏi trong nhóm cộng đồng,13,9.4,8.2
Current booking/location methods,Không cần đặt trước,9,6.5,5.7
Current booking/location methods,Địa điểm công cộng như công viên,1,0.7,0.6
