question,option,count,pct_valid_respondents,pct_total_respondents
Open-ended motivations,Có bạn/người chơi cùng,12,66.7,7.5
Open-ended motivations,Chi phí thấp hơn,9,50.0,5.7
Open-ended motivations,Có địa điểm gần và dễ tham gia,7,38.9,4.4
Open-ended motivations,Có lịch chơi linh hoạt,5,27.8,3.1
Open-ended motivations,Có người hướng dẫn,5,27.8,3.1
Open-ended motivations,Có nhóm phù hợp cho người mới,4,22.2,2.5
Open-ended motivations,Không có nhu cầu,4,22.2,2.5
