question,option,count,pct_valid_respondents,pct_total_respondents
Current teammate finding methods,Rủ bạn bè/người quen trực tiếp,126,84.6,79.2
Current teammate finding methods,Nhóm Zalo/Messenger,72,48.3,45.3
Current teammate finding methods,Nhóm Facebook,43,28.9,27.0
Current teammate finding methods,Cộng đồng trường học/công ty,40,26.8,25.2
Current teammate finding methods,Không chủ động tìm,30,20.1,18.9
Current teammate finding methods,chỉ chơi khi có người rủ,30,20.1,18.9
Current teammate finding methods,Hỏi chủ sân/người quen ở sân,15,10.1,9.4
Current teammate finding methods,Dùng app/website thể thao,8,5.4,5.0
